zone,,1
stomach,1
stole,,1
stole,2
stockings,1
stock,1
stithy.,1
stirring.,1
stirr'd,1
stir,,1
stir,4
sting,2
still;,2
still.,1
still,,4
still,9
stiffly,1
sticks,1
stick.,1
stick,1
steward,,1
stern,1
sterling.,1
sterile,1
steps,1
step,2
steep'd,1
steep,1
steel;,1
steel,,2
steals,1
stealing,1
stealers!,1
steal,1
stays.,1
stay,,1
stay'd,2
stay,7
statutes,,1
statists,1
station,2
stately,1
state.,3
state,,5
state!,1
state,6
started,,1
start,3
stars,,2
stars,2
star.,1
star,,1
star,4
stands,,1
stands,3
standing,1
stand.,1
stand,,1
stand,10
stamp,2
stalks,1
stalk,1
stale,,1
stake.,1
stair,,1
stain'd,,1
staid,1
stages,1
stage;,1
stage.,2
stage,2
staff,1
squeezing,1
squeak,1
spurns,1
spur,1
springs,1
springes,1
springe,,1
spring!,1
spring,2
spread,2
spots,1
sport,2
sponge,,3
spokes,2
spoken,,1
spoken,1
spoke,2
split,1
splenitive,1
spite,1
spirits,,1
spirits,4
spirit.,2
spirit-,1
spirit,,3
spirit!,1
spirit,7
spilt.,1
spills,1
spies.,1
spheres,,1
sphere,,1
spent.,1
spendthrift,1
spend,1
speedy,1
speedier,1
speed,,1
speed,3
speechless,,1
speeches,1
speech;,1
speech.,2
speech,,5
speech,8
spectators,1
special,3
speaks.,1
speaks,,1
speaks,4
speak;,2
speak.,5
speak,',1
speak,,4
speak!-,1
speak!,4
speak,36
sparrow.,1
spark,1
spake,,1
spades,1
spade.,1
spade,,2
spade!,1
spacious,1
space,,1
sovereignty,1
sovereign,3
southerly,1
source,2
sounds,1
sounded,,1
sound;,1
sound,,2
sound,3
souls?,1
souls.,1
souls,,2
souls,1
soul.,1
soul,,9
soul's,1
soul!,3
soul,21
sorts,1
sort,3
sorry.,1
sorry,,1
sorry,2
sorrows,1
sorrow.,1
sorrow,,1
sorrow,4
sore,3
sooner,2
soon.-,1
sons,,1
songs?,1
songs,,1
song?,1
son?,1
son.-,2
son.,2
son-,1
son,,5
son's,1
son,11
somever,1
sometimes,3
sometime,3
something-settled,1
something!,1
something,10
some,51
solidity,1
solid,1
solicitings,,1
solicited-,1
soles,1
solemn,3
sole,1
soldiers,,2
soldiers',1
soldiers,2
soldier.,1
soldier's,,1
soldier,2
sold,1
soil'd,1
soil,1
softly,1
soft!,5
soft,2
soe'er,1
society,1
sober,,1
soaks,1
so?,7
so;,1
so.',1
so.,19
so-,1
so,',2
