,1057
inclination,2
head,,2
love?,2
he?,2
length,2
sigh,2
profound,2
seem'd,2
ecstasy,2
command,,2
discretion.,2
Come.,2
was.,2
of.,2
gather,2
occasion,2
talk'd,2
living,2
awhile,2
profit,2
visitation,2
thanks,2
king's,2
remembrance.,2
Majesties,2
Put,2
Rosencrantz.,2
son.-,2
presence,2
ambassadors,2
liege,,2
trail,2
fruit,2
brief,,2
fine,,2
assay,2
commission,2
allowance,2
business.,2
feast,2
outward,2
mad?,2
art.,2
pity,2
true.,2
remains,2
thus.,2
obedience,,2
[Reads.],2
these,,2
fire;,2
Doubt,2
best,,2
HAMLET.',2
place,,2
faithful,2
prove,2
queen,2
book,,2
idle,2
sight?,2
mistress,2
lock,2
make,,2
Fell,2
Thence,2
thence,2
prov'd,2
know.,2
lobby.,2
farm,2
fishmonger.,2
honest,,2
to't.,2
first.,2
Between,2
rogue,2
purging,2
down;,2
yourself,,2
grave?,2
[Aside],2
pregnant,2
tedious,2
[to,2
Polonius],2
[Polonius].,2
friends!,2
Ah,,2
cap,2
secret,2
true!,2
world's,2
hither?,2
prison.,2
one;,2
dreams,2
shadow.,2
wait,2
matter!,2
thanks;,2
sure,,2
for?,2
purpose.,2
looks,,2
end,,2
rights,2
whether,2
Guildenstern],2
brave,2
pestilent,2
apprehension,2
delights,2
stuff,2
thoughts.,2
hither,2
freely,,2
fort.,2
wonted,2
rapiers,2
scarce,2
'em?,2
pursue,2
nation,2
argument,2
unless,2
player,2
question.,2
possible?,2
Hercules,2
ducats,2
little.,2
'Sblood,,2
players.,2
comply,2
them;,2
prophesy,2
right,,2
actor,2
actors,2
tragedy,,2
comedy,,2
Jephthah,,2
hadst,2
loved,2
passing,2
Am,2
follows,2
more;,2
five,2
welcome,,2
all.-,2
friend?,2
passionate,2
speech.,2
pleas'd,2
receiv'd,2
judgments,2
cried,2
lines,2
author,2
in't,2
'Twas,2
rugged,2
Pyrrhus,,2
Priam,2
accent,2
antique,2
Rebellious,2
falls,,2
rage,2
falls.,2
senseless,2
flaming,2
base,,2
painted,2
stood,,2
heavens,,2
bold,2
below,2
death-,2
anon,2
sets,2
new,2
spokes,2
wheel,,2
Prithee,2
sleeps.,2
mobled,2
diadem,2
About,2
caught,2
sport,2
husband's,2
burning,2
epitaph,2
Use,2
scape,2
merit,2
dozen,2
peasant,2
force,2
Tears,2
nothing!,2
weep,2
have?,2
stage,2
horrid,2
free,,2
defeat,2
ha?,2
'Swounds,,2
gall,2
presently,2
organ,,2
uncle.,2
looks;,2
potent,2
well?,2
question,,2
way.,2
already,2
order,2
content,2
drive,2
Sweet,2
frankly,2
If't,2
affliction,2
happy,2
exercise,2
coming.,2
die-,2
sleep-,2
ay,,2
pause.,2
respect,2
proud,2
patient,2
unworthy,2
sweat,2
others,2
currents,2
yours,2
wax,2
sooner,2
proof.,2
relish,2
heaven?,2
all;,2
nunnery.,2
