,1057
sheepskins?,1
calveskins,1
sheep,1
calves,1
grave's,1
sirrah?,1
Mine,,1
pit,1
on't,,1
thine.,1
quick;,1
liest.,1
neither.,1
woman,,1
she's,1
card,,1
equivocation,1
undo,1
years,1
picked,1
toe,1
heel,1
courtier,1
kibe.-,1
grave-maker?,1
year,,1
overcame,1
since?,1
Cannot,1
Every,1
born-,1
because,1
or,,1
Why?,1
'Twill,1
he.,1
strangely,,1
say.,1
strangely?,1
losing,1
wits.,1
ground?,1
sexton,1
boy,1
rot?,1
pocky,1
corses,1
now-a-days,1
eight,1
year,1
tanner,1
another?,1
tann'd,1
while;,1
decayer,1
whoreson,1
lien,1
three-and-twenty,1
whoreson,,1
fellow's,1
was?,1
pestilence,1
rogue!,1
pour'd,1
flagon,1
Yorick's,1
jester.,1
This?,1
[Takes,1
Yorick!,1
fancy.,1
tunes.,1
abhorred,1
gorge,1
rises,1
hung,1
lips,1
kiss'd,1
oft.,1
gibes,1
gambols?,1
songs?,1
flashes,1
merriment,1
roar?,1
grinning?,1
Quite,1
chap-,1
fall'n?,1
lady's,1
chamber,,1
paint,1
inch,1
thick,,1
Prithee,,1
thing.,1
earth?,1
smelt,1
Pah!,1
[Puts,1
return,,1
stopping,1
bunghole?,1
curiously,,1
jot;,1
enough,,1
likelihood,1
died,,1
buried,,1
returneth,1
dust;,1
loam;,1
loam,1
(whereto,1
converted),1
beer,1
barrel?,1
Imperious,1
Caesar,,1
clay,,1
Might,1
hole,1
wall,1
winter's,1
flaw!,1
aside!,1
King-,1
[priests,1
with],1
coffin,1
[in,1
procession],,1
attendant.],1
courtiers.,1
follow?,1
maimed,1
rites?,1
betoken,1
Fordo,1
Couch,1
[Retires,1
youth.,1
Mark.,1
obsequies,1
enlarg'd,1
warranty.,1
doubtful;,1
o'ersways,1
order,,1
unsanctified,1
lodg'd,1
trumpet.,1
charitable,1
Shards,,1
flints,,1
pebbles,1
thrown,1
allow'd,1
virgin,1
crants,,1
strewments,,1
bringing,1
profane,1
requiem,1
peace-parted,1
souls.,1
unpolluted,1
violets,1
spring!,1
churlish,1
priest,,1
minist'ring,1
howling.,1
Sweets,1
sweet!,1
[Scatters,1
flowers.],1
hop'd,1
bride-bed,1
deck'd,,1
strew'd,1
Fall,1
ingenious,1
Depriv'd,1
of!,1
Leaps,1
pile,1
o'ertop,1
Pelion,1
skyish,1
blue,1
Olympus.,1
[comes,1
forward],1
Bears,1
emphasis?,1
Conjures,1
wand'ring,1
wonder-wounded,1
hearers?,1
[Leaps,1
[Grapples,1
pray'st,1
throat;,1
For,,1
splenitive,1
dangerous,,1
hand!,1
Pluck,1
thein,1
asunder.,1
Gentlemen!,1
quiet.,1
grave.],1
Until,1
eyelids,1
wag.,1
theme?,1
Forty,1
brothers,1
(with,1
love),1
sum.,1
forbear,1
thou't,1
weep?,1
fight?,1
thyself?,1
esill?,1
crocodile?,1
whine?,1
outface,1
leaping,1
prate,1
mountains,,1
Millions,1
acres,1
Singeing,1
zone,,1
Ossa,1
wart!,1
thou'lt,1
rant,1
thou.,1
madness;,1
Anon,,1
female,1
dove,1
couplets,1
drooping.,1
Hear,1
may,,1
cat,1
mew,,1
dog,1
day.,1
Laertes],1
Strengthen,1
night's,1
push.-,1
monument.,1
see;,1
proceeding,1
other.,1
circumstance?,1
Worse,1
mutinies,1
bilboes.,1
Rashly-,1
rashness,1
indiscretion,1
pall;,1
learn,1
ends,,1
Rough-hew,1
will-,1
certain.,1
Up,1
cabin,,1
sea-gown,1
scarf'd,1
dark,1
Grop'd,1
Finger'd,1
packet,,1
withdrew,1
(My,1
forgetting,1
manners),1
unseal,1
grand,1
found,,1
knavery!),,1
exact,1
several,1
sorts,1
health,,1
England's,1
With,,1
hoo!,1
bugs,1
goblins,1
life-,1
supervise,,1
bated,,1
axe,,1
read,1
leisure.,1
proceed?,1
benetted,1
villanies,,1
brains,,1
sat,1
Devis'd,1
wrote,1
fair.,1
statists,1
baseness,1
write,1
labour'd,1
learning;,1
yeoman's,1
Wilt,1
wrote?,1
earnest,1
conjuration,1
tributary,,1
flourish,,1
wheaten,1
garland,1
comma,1
'tween,1
amities,,1
such-like,1
as's,1
view,1
contents,,1
debatement,1
further,,1
shriving,1
allow'd.,1
seal'd?,1
ordinant.,1
signet,1
purse,,1
model,1
seal;,1
Folded,1
Subscrib'd,1
gave't,1
impression,,1
safely,,1
changeling,1
known.,1
sea-fight;,1
sequent,1
employment!,1
conscience;,1
insinuation,1
grow.,1
incensed,1
points,1
mighty,1
opposites.,1
thinks't,1
upon-,1
whor'd,1
mother;,1
Popp'd,1
hopes;,1
Thrown,1
angle,1
Proper,1
coz'nage-,1
perfect,1
arm?,1
evil?,1
short;,1
interim,1
mine,,1
'one.',1
sorry,,1
portraiture,1
his.,1
favours.,1
bravery,1
tow'ring,1
passion.,1
[Aside,1
waterfly?,1
gracious;,1
fertile.,1
beasts,,1
crib,1
mess.,1
chough;,1
spacious,1
possession,1
dirt.,1
leisure,,1
diligence,1
bonnet,1
use.,1
lordship,,1
hot.,1
cold;,1
northerly.,1
sultry,1
complexion.,1
Exceedingly,,1
sultry,,1
'twere-,1
how.,1
bade,1
matter-,1
[Hamlet,1
hat.],1
newly,1
Laertes;,1
gentleman,,1
differences,,1
society,1
showing.,1
feelingly,1
card,1
calendar,1
gentry;,1
definement,1
perdition,1
though,,1
inventorially,1
dozy,1
arithmetic,1
yaw,1
sail.,1
verity,1
extolment,,1
article,,1
infusion,1
dearth,1
rareness,1
diction,1
semblable,1
mirror,,1
umbrage,,1
infallibly,1
concernancy,,1
wrap,1
rawer,1
Sir?,1
Hor,1
tongue?,1
really.,1
nomination,1
empty,1
All's,1
spent.,1
ignorant-,1
ignorant,1
is-,1
compare,1
excellence;,1
weapon;,1
imputation,1
meed,1
unfellowed.,1
weapon?,1
Rapier,1
dagger.,1
weapons-,1
wager'd,1
horses;,1
poniards,,1
girdle,,1
hangers,,1
Three,1
fancy,,1
responsive,1
hilts,,1
conceit.,1
carriages?,1
edified,1
margent,1
hangers.,1
germane,1
hangers,1
Six,1
horses,1
swords,,1
liberal-conceited,1
carriages:,1
bet,1
Danish.,1
passes,1
exceed,1
hits;,1
nine,,1
trial,1
trial.,1
breathing,1
brought,,1
can;,1
hits.,1
redeliver,1
lordship.,1
Yours,,1
Osric.],1
turn.,1
lapwing,1
shell,1
dug,1
bevy,1
drossy,1
dotes,1
encounter-,1
yesty,1
collection,,1
carries,1
fann'd,1
winnowed,1
opinions;,1
trial-the,1
bubbles,1
commended,1
brings,1
attend,1
constant,1
purposes;,1
fitness,1
speaks,,1
ready;,1
whensoever,,1
provided,1
able,1
instructs,1
Lord.],1
wager,,1
continual,1
practice.,1
all's,1
-,1
foolery;,1
gaingiving,1
woman.,1
dislike,1
anything,,1
forestall,1
fit.,1
whit,,1
defy,1
augury;,1
sparrow.,1
come',,1
now;,1
come:,1
readiness,1
leaves,,1
betimes?,1
gauntlets.,1
flagons,1
Laertes',1
Hamlet's.],1
pardon,,1
wrong;,1
pardon't,,1
punish'd,1
distraction.,1
honour,,1
exception,1
Roughly,1
awake,,1
proclaim,1
Was't,1
wrong'd,1
away,,1
denies,1
faction,1
wrong'd;,1
audience,,1
disclaiming,1
purpos'd,1
evil,1
Free,1
generous,1
arrow,1
hurt,1
satisfied,1
case,1
aloof,,1
reconcilement,1
elder,1
masters,1
ungor'd.,1
offer'd,1
foils.,1
foil,,1
ignorance,1
darkest,1
Stick,1
bad.,1
foils,,1
Cousin,1
wager?,1
odds,1
weaker,1
side.,1
both;,1
better'd,,1
heavy;,1
length?,1
Prepare,1
stoups,1
exchange,,1
battlements,1
cup,1
Richer,1
successive,1
kings,1
crown,1
worn.,1
cups;,1
kettle,1
cannoneer,1
without,,1
cannons,1
'Now,1
Hamlet.',1
begin.,1
judges,,1
One.,1
Judgment!,1
palpable,1
pearl,1
thine;,1
health.,1
[Drum;,1
trumpets,1
sound;,1
[within].,1
bout,1
first;,1
(They,1
play.),1
touch,,1
touch;,1
confess't.,1
win.,1
fat,,1
scant,1
breath.,1
napkin,,1
rub,1
brows.,1
carouses,1
madam!,1
Drinks.,1
poison'd,1
cup;,1
madam;,1
face.,1
think't.,1
conscience.,1
third,,1
Laertes!,1
dally.,1
Pass,1
afeard,1
scuffling,,1
rapiers,,1
[and,1
Laertes].,1
Part,1
them!,1
bleed,1
woodcock,1
springe,,1
treachery.,1
Queen?,1
sounds,1
bleed.,1
[Dies.],1
villany!,1
Ho!,1
lock'd.,1
Treachery!,1
falls.],1
medicine,1
treacherous,1
Unbated,1
envenom'd.,1
rise,1
envenom'd,1
too?,1
Then,,1
venom,,1
work.,1
Hurts,1
Treason!,1
treason!,1
hurt.,1
murd'rous,,1
Dane,,1
Drink,1
potion!,1
dies.,1
serv'd.,1
temper'd,1
Exchange,1
forgiveness,1
Wretched,1
chance,,1
mutes,1
sergeant,,1
arrest),1
liv'st;,1
aright,1
unsatisfied.,1
liquor,1
left.,1
th'art,1
go!,1
ha't.,1
wounded,1
(Things,1
standing,1
unknown),1
Absent,1
felicity,1
pain,,1
story.,1
conquest,1
volley.,1
o'ercrows,1
lights,1
dying,1
occurrents,,1
solicited-,1
silence.,1
cracks,1
flights,1
angels,1
drum,1
Ambassadors,,1
Drum,,1
Colours,,1
see?,1
cease,1
search.,1
quarry,1
havoc.,1
cell,1
princes,1
bloodily,1
Ambassador.,1
dismal;,1
affairs,1
bearing,1
fulfill'd,1
thanks?,1
ability,1
since,,1
wars,,1
arriv'd,,1
High,1
placed,1
view;,1
unknowing,1
about.,1
carnal,,1
acts;,1
accidental,1
judgments,,1
casual,1
slaughters;,1
deaths,1
cause;,1
upshot,,1
purposes,1
mistook,1
Fall'n,1
inventors',1
deliver.,1
noblest,1
audience.,1
claim,1
vantage,1
invite,1
also,1
perform'd,,1
minds,1
errors,1
happen.,1
captains,1
Bear,1
stage;,1
likely,,1
royally;,1
soldiers',1
rites,1
war,1
loudly,1
bodies.,1
Becomes,1
field,1
shoot.,1
marching;,1
peal,1
END,1
